method,stage,test_year,micro_f1,macro_f1,samples_f1,jaccard,mean_binary_entropy,seconds,model_name,n_fit,n_val,n_test,n_labels,embedding_seconds
BR-TFIDF same split,preliminary,2023,0.551128654249414,0.3355687830283055,0.5411070696610908,0.40337575593465114,0.6276121074400626,5.322,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,183.241
Segmented MiniLM-BR C=1,preliminary,2023,0.4632811750023999,0.2787832683573991,0.45579872334543337,0.31549915018639635,0.7763748125114137,3.895,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,183.241
Frozen semantic-fusion BR w=1 C=1,preliminary,2023,0.5455650060753341,0.32580421741960053,0.5349042058221587,0.39687084961252306,0.5878083419275109,6.913,C:\Users\LuYH\.cache\huggingface\hub\models--sentence-transformers--all-MiniLM-L6-v2\snapshots\c9745ed1d9f207416be6d2e6f8de32d1f16199bf,2382,1288,1231,19,183.241
