test_year,stage,n_samples,n_labels,micro_precision,micro_recall,micro_f1,macro_f1,samples_f1,jaccard_samples,mean_binary_entropy
2023,event_aircraft_core,1231,17,0.2802388059701493,0.795593220338983,0.4144812362030905,0.24595945031397276,0.4051247407175156,0.27256070718702724,0.7251357968947663
2023,event_aircraft_weather,1231,17,0.2539246898671643,0.7840677966101695,0.38361389833319515,0.24589468944389103,0.3743727096082905,0.24611332119455592,0.7341161593192457
2023,preliminary,1231,17,0.4371947646024614,0.7586440677966102,0.554715578138555,0.36910946646407417,0.5433696324435561,0.4051306848219927,0.6653627682627724
2023,mature_factual,1231,17,0.5652933832709114,0.7674576271186441,0.6510424155283968,0.4518479071689373,0.6393655311202021,0.5192458705659355,0.6147458009567311
2024,event_aircraft_core,987,19,0.24349096705632306,0.8007863695937091,0.37343383925842927,0.2143446518399492,0.3694572244411329,0.24155313615799937,0.6681698388761035
2024,event_aircraft_weather,987,19,0.2657026000584283,0.7946701616426387,0.39824849480021896,0.22954526328160305,0.3929050249271955,0.26069940416444976,0.6748180759352097
2024,preliminary,987,19,0.40653531955790484,0.7391874180865007,0.5245698341342427,0.3170433025584341,0.5212957437434462,0.3877354014892009,0.5999619947384989
2024,mature_factual,987,19,0.5684580934101088,0.7763215377894277,0.6563250230840258,0.4353860106114718,0.6531557826390654,0.5381490765229366,0.5365027694171512
2025,event_aircraft_core,654,19,0.28526315789473683,0.8484658735128365,0.4269733732472034,0.22097648417720794,0.423382587363441,0.28519475555026014,0.6592437986843424
2025,event_aircraft_weather,654,19,0.2956638957537632,0.8240450845335003,0.4351851851851852,0.22827222952954074,0.4297813141487695,0.28992166090789945,0.664219872022001
2025,preliminary,654,19,0.3957792207792208,0.7633061991233563,0.5212743211460338,0.2670288930950426,0.5081892029139735,0.3700176182974348,0.5838578777472626
2025,mature_factual,654,19,0.6306093528578177,0.8359423919849718,0.7189014539579968,0.4701864584492384,0.7018476002420957,0.5926472015921558,0.5008282401102071
