stage,best_method,best_micro_f1,br_tfidf_micro_f1,delta_vs_br_tfidf,best_macro_f1,best_samples_f1,best_jaccard_samples
event_aircraft_core,VCLDL-adapted,0.423260934038708,0.4049628162362411,0.01829811780246693,0.2308695634776859,0.418389013192308,0.2837555516541368
event_aircraft_weather,SIHTC-adapted,0.4306834964821018,0.4056825261061997,0.0250009703759021,0.2329550836813189,0.4243239096137002,0.2903183799846352
mature_factual,SIHTC-adapted,0.6813503344439829,0.6754229641901398,0.005927370253843045,0.4378939866251247,0.6706245201672217,0.5584921264410388
preliminary,VCLDL-adapted,0.5440078440696533,0.5335199111396105,0.010487932930042798,0.303549843820326,0.5336119750848951,0.4006350398074651
