method,stage,late_close_positive_threshold,late_close_negative_threshold,other_close_positive_threshold,other_close_negative_threshold,closed_precision,coverage,late_emerging_share_in_acquire,late_emerging_share_in_deferred_positives,late_positive_defer_rate,decision_cost,default_cost,cost_reduction,test_year,fit_years,validation_year,train_samples,test_samples,n_labels,standard_micro_f1,standard_macro_f1,standard_samples_f1,standard_jaccard,runtime_seconds
ES3D-smoke,preliminary,0.95,0.2,0.5,0.4,0.8978082915236335,0.7238495723228365,0.8131164561342793,0.7114914425427873,0.9538158881984182,9621.6,17085.0,0.43683933274802456,2023,"2020,2021",2022,3670,1231,17,0.5529087261785356,0.369229290207613,0.5436951801695912,0.40697813108454867,9.158
ES3D-smoke,preliminary,0.95,0.2,0.5,0.4,0.9103258956852256,0.7575854529941876,0.836779586449626,0.7541345093715546,0.9232291951881406,7848.4,16411.0,0.5217597952592773,2024,"2020,2021,2022",2023,4901,987,19,0.5087693868676619,0.3141424707241905,0.5048260263618747,0.3693768996960486,8.207
ES3D-smoke,preliminary,0.9,0.2,0.55,0.45,0.91725768321513,0.748913568324481,0.8605769230769231,0.7303543913713405,0.8877083759750113,4811.0,11787.0,0.5918384661067277,2025,"2020,2021,2022,2023",2024,5888,654,19,0.4993829699712053,0.26494711491914935,0.49032725684101836,0.35332971479760467,10.481
