test_year,label,support,is_late_emerging,close_positive,close_negative,acquire_more_evidence,coverage,closed_precision,positive_defer_rate
2023,Aircraft-Aircraft handling/service,11,False,3,1223,5,0.9959382615759546,0.9902120717781403,0.0
2023,Aircraft-Aircraft oper/perf/capability,589,False,622,435,174,0.8586515028432169,0.7369914853358562,0.16468590831918506
2023,Aircraft-Aircraft power plant,175,False,265,920,46,0.9626320064987814,0.8877637130801688,0.02857142857142857
2023,Aircraft-Aircraft propeller/rotor,20,False,33,1187,11,0.9910641754670999,0.969672131147541,0.2
2023,Aircraft-Aircraft structures,27,False,23,1188,20,0.983753046303818,0.9752270850536746,0.0
2023,Aircraft-Aircraft systems,200,True,0,166,1065,0.1348497156783103,0.9759036144578314,0.98
2023,Aircraft-Fluids/misc hardware,106,True,1,501,729,0.40779853777416736,0.9760956175298805,0.8773584905660378
2023,Environmental issues-Conditions/weather/phenomena,267,True,1,276,954,0.22502030869212022,0.9855595667870036,0.9812734082397003
2023,Environmental issues-Operating environment,11,False,4,1217,10,0.991876523151909,0.9877149877149877,0.0
2023,Environmental issues-Physical environment,188,True,0,163,1068,0.132412672623883,0.9754601226993865,0.9787234042553191
2023,Not determined-Not determined,68,False,205,893,133,0.8919577579203899,0.8214936247723132,0.22058823529411764
2023,Organizational issues-Support/oversight/monitoring,16,False,2,1224,5,0.9959382615759546,0.9853181076672104,0.0
2023,Personnel issues-Action/decision,373,False,496,456,279,0.7733549959382616,0.6271008403361344,0.19839142091152814
2023,Personnel issues-Experience/knowledge,48,False,75,1092,64,0.9480097481722177,0.9177377892030848,0.0625
2023,Personnel issues-Physical,22,False,57,1128,46,0.9626320064987814,0.9561181434599156,0.13636363636363635
2023,Personnel issues-Psychological,145,True,0,348,883,0.2826969943135662,0.9798850574712644,0.9517241379310345
2023,Personnel issues-Task performance,684,False,624,320,287,0.7668562144597888,0.6875,0.2236842105263158
2024,Aircraft-Aircraft handling/service,6,False,4,974,9,0.9908814589665653,0.9897750511247444,0.0
2024,Aircraft-Aircraft oper/perf/capability,484,False,607,289,91,0.9078014184397163,0.7142857142857143,0.1012396694214876
2024,Aircraft-Aircraft power plant,121,False,166,800,21,0.9787234042553191,0.9089026915113871,0.008264462809917356
2024,Aircraft-Aircraft propeller/rotor,13,False,16,964,7,0.9929078014184397,0.9826530612244898,0.0
2024,Aircraft-Aircraft structures,27,False,17,955,15,0.9848024316109423,0.9691358024691358,0.07407407407407407
2024,Aircraft-Aircraft systems,169,True,1,157,829,0.160081053698075,0.9050632911392406,0.9053254437869822
2024,Aircraft-Fluids/misc hardware,79,True,5,380,602,0.3900709219858156,0.9766233766233766,0.8227848101265823
2024,Environmental issues-Conditions/weather/phenomena,233,True,1,199,787,0.20263424518743667,0.97,0.9785407725321889
2024,Environmental issues-Operating environment,7,False,11,967,9,0.9908814589665653,0.983640081799591,0.0
2024,Environmental issues-Physical environment,150,True,0,133,854,0.1347517730496454,0.9548872180451128,0.96
2024,Not determined-Not determined,26,False,106,819,62,0.9371833839918946,0.8897297297297297,0.0
2024,Organizational issues-Development,9,False,2,982,3,0.9969604863221885,0.9908536585365854,0.2222222222222222
2024,Organizational issues-Management,6,False,7,976,4,0.9959473150962512,0.9867751780264497,0.0
2024,Organizational issues-Support/oversight/monitoring,7,False,11,969,7,0.9929078014184397,0.9846938775510204,0.14285714285714285
2024,Personnel issues-Action/decision,240,False,343,370,274,0.7223910840932117,0.5904628330995793,0.2625
2024,Personnel issues-Experience/knowledge,31,False,52,875,60,0.939209726443769,0.919093851132686,0.12903225806451613
2024,Personnel issues-Physical,11,False,32,939,16,0.983789260385005,0.964984552008239,0.09090909090909091
2024,Personnel issues-Psychological,99,True,0,255,732,0.25835866261398177,0.9803921568627451,0.9494949494949495
2024,Personnel issues-Task performance,571,False,595,228,164,0.8338399189463019,0.6646415552855407,0.17513134851138354
2025,Aircraft-Aircraft handling/service,2,False,0,652,2,0.9969418960244648,0.9969325153374233,0.0
2025,Aircraft-Aircraft oper/perf/capability,372,False,451,115,88,0.8654434250764526,0.6678445229681979,0.13709677419354838
2025,Aircraft-Aircraft power plant,19,False,16,632,6,0.9908256880733946,0.9660493827160493,0.05263157894736842
2025,Aircraft-Aircraft propeller/rotor,7,False,1,650,3,0.9954128440366973,0.9907834101382489,0.0
2025,Aircraft-Aircraft structures,8,False,6,641,7,0.9892966360856269,0.9799072642967542,0.125
2025,Aircraft-Aircraft systems,107,True,1,133,520,0.20489296636085627,0.9253731343283582,0.897196261682243
2025,Aircraft-Fluids/misc hardware,49,True,2,278,374,0.42813455657492355,0.9535714285714286,0.6938775510204082
2025,Environmental issues-Conditions/weather/phenomena,159,True,6,36,612,0.06422018348623854,0.9047619047619048,0.949685534591195
2025,Environmental issues-Operating environment,10,False,5,642,7,0.9892966360856269,0.9768160741885626,0.0
2025,Environmental issues-Physical environment,106,True,0,32,622,0.04892966360856269,0.96875,0.9905660377358491
2025,Not determined-Not determined,14,False,3,640,11,0.9831804281345565,0.9751166407465007,0.07142857142857142
2025,Organizational issues-Development,2,False,0,654,0,1.0,0.9969418960244648,0.0
2025,Organizational issues-Management,3,False,0,653,1,0.9984709480122325,0.9954058192955589,0.0
2025,Organizational issues-Support/oversight/monitoring,4,False,4,649,1,0.9984709480122325,0.9938744257274119,0.0
2025,Personnel issues-Action/decision,197,False,197,292,165,0.7477064220183486,0.5787321063394683,0.27411167512690354
2025,Personnel issues-Experience/knowledge,19,False,31,596,27,0.9587155963302753,0.9234449760765551,0.0
2025,Personnel issues-Physical,8,False,10,636,8,0.9877675840978594,0.978328173374613,0.0
2025,Personnel issues-Psychological,97,True,0,97,557,0.14831804281345565,0.9072164948453608,0.9072164948453608
2025,Personnel issues-Task performance,414,False,411,134,109,0.8333333333333334,0.6440366972477064,0.16183574879227053
