test_year,stage,label,support,predicted_positive,precision,recall,f1
2023,mature_factual,Aircraft-Aircraft handling/service,11,54,0.07407407407407407,0.36363636363636365,0.12307692307692308
2023,mature_factual,Aircraft-Aircraft oper/perf/capability,589,640,0.7671875,0.833616298811545,0.7990235964198535
2023,mature_factual,Aircraft-Aircraft power plant,175,252,0.5952380952380952,0.8571428571428571,0.702576112412178
2023,mature_factual,Aircraft-Aircraft propeller/rotor,20,39,0.2564102564102564,0.5,0.3389830508474576
2023,mature_factual,Aircraft-Aircraft structures,27,38,0.2894736842105263,0.4074074074074074,0.3384615384615385
2023,mature_factual,Aircraft-Aircraft systems,200,236,0.576271186440678,0.68,0.6238532110091743
2023,mature_factual,Aircraft-Fluids/misc hardware,106,155,0.5483870967741935,0.8018867924528302,0.6513409961685823
2023,mature_factual,Environmental issues-Conditions/weather/phenomena,267,284,0.7323943661971831,0.7790262172284644,0.7549909255898367
2023,mature_factual,Environmental issues-Operating environment,11,10,0.1,0.09090909090909091,0.09523809523809523
2023,mature_factual,Environmental issues-Physical environment,188,263,0.45627376425855515,0.6382978723404256,0.532150776053215
2023,mature_factual,Not determined-Not determined,68,151,0.2119205298013245,0.47058823529411764,0.2922374429223744
2023,mature_factual,Organizational issues-Support/oversight/monitoring,16,26,0.0,0.0,0.0
2023,mature_factual,Personnel issues-Action/decision,373,570,0.48947368421052634,0.7479892761394102,0.591728525980912
2023,mature_factual,Personnel issues-Experience/knowledge,48,54,0.2222222222222222,0.25,0.23529411764705882
2023,mature_factual,Personnel issues-Physical,22,68,0.22058823529411764,0.6818181818181818,0.3333333333333333
2023,mature_factual,Personnel issues-Psychological,145,200,0.445,0.6137931034482759,0.5159420289855072
2023,mature_factual,Personnel issues-Task performance,684,965,0.6435233160621762,0.9078947368421053,0.7531837477258945
2024,event_aircraft_core,Aircraft-Aircraft handling/service,6,219,0.0091324200913242,0.3333333333333333,0.017777777777777778
2024,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,484,887,0.52423900789177,0.9607438016528925,0.6783369803063457
2024,event_aircraft_core,Aircraft-Aircraft power plant,121,489,0.14519427402862986,0.5867768595041323,0.23278688524590163
2024,event_aircraft_core,Aircraft-Aircraft propeller/rotor,13,59,0.0847457627118644,0.38461538461538464,0.1388888888888889
2024,event_aircraft_core,Aircraft-Aircraft structures,27,226,0.05309734513274336,0.4444444444444444,0.09486166007905138
2024,event_aircraft_core,Aircraft-Aircraft systems,169,409,0.21026894865525672,0.5088757396449705,0.2975778546712803
2024,event_aircraft_core,Aircraft-Fluids/misc hardware,79,324,0.12962962962962962,0.5316455696202531,0.20843672456575682
2024,event_aircraft_core,Environmental issues-Conditions/weather/phenomena,233,563,0.26287744227353466,0.6351931330472103,0.37185929648241206
2024,event_aircraft_core,Environmental issues-Operating environment,7,459,0.010893246187363835,0.7142857142857143,0.02145922746781116
2024,event_aircraft_core,Environmental issues-Physical environment,150,808,0.16212871287128713,0.8733333333333333,0.27348643006263046
2024,event_aircraft_core,Not determined-Not determined,26,191,0.05759162303664921,0.4230769230769231,0.10138248847926268
2024,event_aircraft_core,Organizational issues-Development,9,17,0.0,0.0,0.0
2024,event_aircraft_core,Organizational issues-Management,6,87,0.034482758620689655,0.5,0.06451612903225806
2024,event_aircraft_core,Organizational issues-Support/oversight/monitoring,7,391,0.01278772378516624,0.7142857142857143,0.02512562814070352
2024,event_aircraft_core,Personnel issues-Action/decision,240,904,0.24557522123893805,0.925,0.3881118881118881
2024,event_aircraft_core,Personnel issues-Experience/knowledge,31,141,0.07092198581560284,0.3225806451612903,0.11627906976744186
2024,event_aircraft_core,Personnel issues-Physical,11,114,0.043859649122807015,0.45454545454545453,0.08
2024,event_aircraft_core,Personnel issues-Psychological,99,263,0.155893536121673,0.41414141414141414,0.2265193370165746
2024,event_aircraft_core,Personnel issues-Task performance,571,977,0.5823950870010235,0.9964973730297724,0.7351421188630491
2024,event_aircraft_weather,Aircraft-Aircraft handling/service,6,261,0.0,0.0,0.0
2024,event_aircraft_weather,Aircraft-Aircraft oper/perf/capability,484,902,0.5199556541019955,0.96900826446281,0.6767676767676768
2024,event_aircraft_weather,Aircraft-Aircraft power plant,121,561,0.1319073083778966,0.6115702479338843,0.21700879765395895
2024,event_aircraft_weather,Aircraft-Aircraft propeller/rotor,13,37,0.13513513513513514,0.38461538461538464,0.2
2024,event_aircraft_weather,Aircraft-Aircraft structures,27,44,0.13636363636363635,0.2222222222222222,0.16901408450704225
2024,event_aircraft_weather,Aircraft-Aircraft systems,169,491,0.21384928716904278,0.621301775147929,0.3181818181818182
2024,event_aircraft_weather,Aircraft-Fluids/misc hardware,79,199,0.1407035175879397,0.35443037974683544,0.2014388489208633
2024,event_aircraft_weather,Environmental issues-Conditions/weather/phenomena,233,298,0.4161073825503356,0.5321888412017167,0.4670433145009416
2024,event_aircraft_weather,Environmental issues-Operating environment,7,111,0.02702702702702703,0.42857142857142855,0.05084745762711865
2024,event_aircraft_weather,Environmental issues-Physical environment,150,886,0.16027088036117382,0.9466666666666667,0.27413127413127414
2024,event_aircraft_weather,Not determined-Not determined,26,198,0.045454545454545456,0.34615384615384615,0.08035714285714286
2024,event_aircraft_weather,Organizational issues-Development,9,7,0.0,0.0,0.0
2024,event_aircraft_weather,Organizational issues-Management,6,101,0.0297029702970297,0.5,0.056074766355140186
2024,event_aircraft_weather,Organizational issues-Support/oversight/monitoring,7,485,0.008247422680412371,0.5714285714285714,0.016260162601626018
2024,event_aircraft_weather,Personnel issues-Action/decision,240,987,0.24316109422492402,1.0,0.39119804400978
2024,event_aircraft_weather,Personnel issues-Experience/knowledge,31,72,0.06944444444444445,0.16129032258064516,0.0970873786407767
2024,event_aircraft_weather,Personnel issues-Physical,11,43,0.09302325581395349,0.36363636363636365,0.14814814814814814
2024,event_aircraft_weather,Personnel issues-Psychological,99,220,0.19090909090909092,0.42424242424242425,0.26332288401253917
2024,event_aircraft_weather,Personnel issues-Task performance,571,943,0.5896076352067868,0.9737302977232924,0.7344782034346103
2024,preliminary,Aircraft-Aircraft handling/service,6,4,0.0,0.0,0.0
2024,preliminary,Aircraft-Aircraft oper/perf/capability,484,738,0.6151761517615176,0.9380165289256198,0.7430441898527005
2024,preliminary,Aircraft-Aircraft power plant,121,168,0.5892857142857143,0.8181818181818182,0.6851211072664359
2024,preliminary,Aircraft-Aircraft propeller/rotor,13,34,0.20588235294117646,0.5384615384615384,0.2978723404255319
2024,preliminary,Aircraft-Aircraft structures,27,15,0.4,0.2222222222222222,0.2857142857142857
2024,preliminary,Aircraft-Aircraft systems,169,198,0.42424242424242425,0.4970414201183432,0.45776566757493187
2024,preliminary,Aircraft-Fluids/misc hardware,79,110,0.34545454545454546,0.4810126582278481,0.4021164021164021
2024,preliminary,Environmental issues-Conditions/weather/phenomena,233,347,0.4409221902017291,0.6566523605150214,0.5275862068965518
2024,preliminary,Environmental issues-Operating environment,7,233,0.017167381974248927,0.5714285714285714,0.03333333333333333
2024,preliminary,Environmental issues-Physical environment,150,530,0.2169811320754717,0.7666666666666667,0.3382352941176471
2024,preliminary,Not determined-Not determined,26,102,0.14705882352941177,0.5769230769230769,0.234375
2024,preliminary,Organizational issues-Development,9,18,0.16666666666666666,0.3333333333333333,0.2222222222222222
2024,preliminary,Organizational issues-Management,6,27,0.037037037037037035,0.16666666666666666,0.06060606060606061
2024,preliminary,Organizational issues-Support/oversight/monitoring,7,86,0.023255813953488372,0.2857142857142857,0.043010752688172046
2024,preliminary,Personnel issues-Action/decision,240,475,0.30105263157894735,0.5958333333333333,0.4
2024,preliminary,Personnel issues-Experience/knowledge,31,50,0.04,0.06451612903225806,0.04938271604938271
2024,preliminary,Personnel issues-Physical,11,28,0.14285714285714285,0.36363636363636365,0.20512820512820512
2024,preliminary,Personnel issues-Psychological,99,179,0.22346368715083798,0.40404040404040403,0.28776978417266186
2024,preliminary,Personnel issues-Task performance,571,820,0.6365853658536585,0.9141856392294221,0.7505391804457225
2024,mature_factual,Aircraft-Aircraft handling/service,6,13,0.0,0.0,0.0
2024,mature_factual,Aircraft-Aircraft oper/perf/capability,484,595,0.746218487394958,0.9173553719008265,0.8229842446709916
