stage,test_years,n_samples,micro_f1,macro_f1,samples_f1,jaccard_samples,mean_binary_entropy
event_aircraft_core,3,2872,0.4049628162362411,0.22709352877704328,0.39932151750736317,0.26643619963176224,0.684183144818404
event_aircraft_weather,3,2872,0.40568252610619976,0.23457072741834495,0.39901968289475187,0.2655781287556351,0.6910513690921521
mature_factual,3,2872,0.6754229641901398,0.4524734587432158,0.6647896380004544,0.5500140495603426,0.5506922701613631
preliminary,3,2872,0.5335199111396105,0.3177272207058503,0.5242848597003252,0.38762790153620946,0.6163942135828446
