stage,test_years,n_samples,micro_f1,macro_f1,samples_f1,jaccard_samples,mean_binary_entropy
event_aircraft_core,1,1288,0.38722868826675055,0.248790697120798,0.3802930527891708,0.2483219765052063,0.7604799842214645
event_aircraft_weather,1,1288,0.37304434099061284,0.2466138881812941,0.36417562020754385,0.23520127431229915,0.7670625117493425
mature_factual,1,1288,0.6227272727272727,0.4800426034463854,0.6210639558853845,0.49773026964408956,0.6516991865482471
preliminary,1,1288,0.5083684267357736,0.38303868427899485,0.49996482123811314,0.3580196933846002,0.7017016480093403
