test_year,stage,label,support,predicted_positive,precision,recall,f1
2022,event_aircraft_core,Aircraft-Aircraft handling/service,13,861,0.012775842044134728,0.8461538461538461,0.02517162471395881
2022,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,626,1197,0.5020885547201337,0.9600638977635783,0.6593527153044432
2022,event_aircraft_core,Aircraft-Aircraft power plant,164,719,0.1599443671766342,0.7012195121951219,0.26047565118912797
2022,event_aircraft_core,Aircraft-Aircraft propeller/rotor,21,103,0.0970873786407767,0.47619047619047616,0.16129032258064516
2022,event_aircraft_core,Aircraft-Aircraft structures,21,250,0.024,0.2857142857142857,0.04428044280442804
2022,event_aircraft_core,Aircraft-Aircraft systems,171,541,0.17375231053604437,0.5497076023391813,0.2640449438202247
2022,event_aircraft_core,Aircraft-Fluids/misc hardware,109,544,0.1213235294117647,0.6055045871559633,0.20214395099540583
2022,event_aircraft_core,Environmental issues-Conditions/weather/phenomena,249,764,0.21858638743455497,0.6706827309236948,0.3297137216189536
2022,event_aircraft_core,Environmental issues-Operating environment,13,57,0.0,0.0,0.0
2022,event_aircraft_core,Environmental issues-Physical environment,198,1148,0.16114982578397213,0.9343434343434344,0.274888558692422
2022,event_aircraft_core,Not determined-Not determined,76,428,0.0794392523364486,0.4473684210526316,0.1349206349206349
2022,event_aircraft_core,Personnel issues-Action/decision,379,1284,0.29361370716510904,0.9947229551451188,0.4533974744437763
2022,event_aircraft_core,Personnel issues-Experience/knowledge,45,129,0.08527131782945736,0.24444444444444444,0.12643678160919541
2022,event_aircraft_core,Personnel issues-Physical,37,102,0.058823529411764705,0.16216216216216217,0.08633093525179857
2022,event_aircraft_core,Personnel issues-Psychological,134,320,0.16875,0.40298507462686567,0.23788546255506607
2022,event_aircraft_core,Personnel issues-Task performance,725,1288,0.562888198757764,1.0,0.7203179334326876
2022,event_aircraft_weather,Aircraft-Aircraft handling/service,13,999,0.011011011011011011,0.8461538461538461,0.021739130434782608
