method,test_years,close_positive_precision,positive_coverage,event_positive_coverage,event_close_positive_rate,event_any_closure_rate,defer_rate,workload_reduction,overall_coverage,empirical_all_risk,certified_all_bound,projected_hierarchy_violations,raw_hierarchy_violations,late_premature_closure_risk,parent_close_positive_precision,child_close_positive_precision,parent_positive_coverage,child_positive_coverage,parent_f1,child_f1
BR-TFIDF threshold,1,0.5224395857307249,0.855151629308721,0.983726606997559,1.0,1.0,0.0,1.0,1.0,0.2223578338305759,nan,250,250,0.1986981285598047,0.6873265494912119,0.42427024049935746,0.9299123904881101,0.7936126373626373,0.7904255319148936,0.5529369541811221
ES3D,1,0.622564935064935,0.5778866076473912,0.950366151342555,0.9975589910496339,1.0,0.25314166892686013,0.7468583310731398,0.7468583310731399,0.13118162914745501,nan,1184,1184,0.0,0.7208924949290061,0.5241575314656922,0.7413433458489779,0.44333791208791207,0.7309749074454956,0.48037209302325584
F-DFHC without utility,1,0.89937106918239,0.026935392729327556,0.11228641171684296,0.12530512611879577,1.0,0.30892324382967185,0.6910767561703282,0.6910767561703283,0.054832293644335964,0.07993713298680086,0,8,0.0,0.89937106918239,0.0,0.05965790571547768,0.0,0.11189358372456965,0.0
F-DFHC-U full,1,0.9033333333333333,0.05104539461292146,0.1790073230268511,0.1969080553295362,1.0,0.3303498779495525,0.6696501220504475,0.6696501220504475,0.04692161649037158,0.07206788350233644,0,11,0.0003254678600488202,0.904,0.9,0.09428452231956612,0.015453296703296704,0.1707593502077824,0.03038487508440243
F-DFHC-U w/o projection,1,0.9033333333333333,0.05104539461292146,0.1790073230268511,0.1969080553295362,1.0,0.33084712051351595,0.669152879486484,0.669152879486484,0.04683120875146913,0.07206788350233644,11,11,0.0003254678600488202,0.904,0.9,0.09428452231956612,0.015453296703296704,0.1707593502077824,0.03038487508440243
Instancewise RCPS,1,0.9025641025641026,0.03315125258994161,0.13018714401952808,0.14483319772172498,1.0,0.3076575354850375,0.6923424645149625,0.6923424645149625,0.05478708977488474,0.07994346845995985,32,32,0.0,0.89937106918239,0.9166666666666666,0.05965790571547768,0.011332417582417582,0.11189358372456965,0.022388059701492536
LTT without hierarchy,1,0.9055944055944056,0.048785081936334525,0.1887713588283157,0.2082994304312449,1.0,0.331253955338577,0.6687460446614231,0.6687460446614232,0.04692161649037158,0.07202015691959651,25,25,0.0,0.904,0.9166666666666666,0.09428452231956612,0.011332417582417582,0.1707593502077824,0.022388059701492536
Labelwise RCPS,1,0.0,0.0,0.0,0.0,1.0,0.403580146460537,0.596419853539463,0.596419853539463,0.03132628152969894,0.03918685868041619,70,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
