method,test_year,label,node_type,parent,support,close_positive_decisions,close_positive_precision,positive_coverage,defer_rate,is_late_emerging
BR-TFIDF threshold,2023,Aircraft,parent,Aircraft,973,1178,0.8149405772495756,0.986639260020555,0.0,False
BR-TFIDF threshold,2023,Personnel issues,parent,Personnel issues,931,1072,0.8125,0.9355531686358755,0.0,False
BR-TFIDF threshold,2023,Environmental issues,parent,Environmental issues,437,755,0.5046357615894039,0.8718535469107551,0.0,False
BR-TFIDF threshold,2023,Not determined,parent,Not determined,68,206,0.14077669902912626,0.4264705882352941,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,15,0.1333333333333333,0.18181818181818182,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,789,0.6489226869455007,0.8692699490662139,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft power plant,child,Aircraft,175,262,0.5610687022900763,0.84,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,33,0.21212121212121215,0.35,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft structures,child,Aircraft,27,20,0.44999999999999996,0.3333333333333333,0.0,False
BR-TFIDF threshold,2023,Aircraft-Aircraft systems,child,Aircraft,200,260,0.3846153846153846,0.5,0.0,True
BR-TFIDF threshold,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,148,0.41891891891891897,0.5849056603773585,0.0,True
BR-TFIDF threshold,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,456,0.4057017543859649,0.6928838951310862,0.0,True
BR-TFIDF threshold,2023,Environmental issues-Operating environment,child,Environmental issues,11,20,0.0,0.0,0.0,False
BR-TFIDF threshold,2023,Environmental issues-Physical environment,child,Environmental issues,188,560,0.24821428571428572,0.7393617021276596,0.0,True
BR-TFIDF threshold,2023,Not determined-Not determined,child,Not determined,68,206,0.14077669902912626,0.4264705882352941,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Action/decision,child,Personnel issues,373,770,0.3831168831168831,0.7908847184986595,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,70,0.15714285714285714,0.22916666666666666,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Physical,child,Personnel issues,22,42,0.19047619047619047,0.36363636363636365,0.0,False
BR-TFIDF threshold,2023,Personnel issues-Psychological,child,Personnel issues,145,205,0.31219512195121957,0.4413793103448276,0.0,True
BR-TFIDF threshold,2023,Personnel issues-Task performance,child,Personnel issues,684,1032,0.6114341085271318,0.922514619883041,0.0,False
ES3D,2023,Aircraft,parent,Aircraft,973,905,0.8497237569060774,0.7903391572456321,0.08780487804878045,False
ES3D,2023,Personnel issues,parent,Personnel issues,931,845,0.8745562130177514,0.7937701396348013,0.03658536585365857,False
ES3D,2023,Environmental issues,parent,Environmental issues,437,568,0.5369718309859155,0.6979405034324943,0.08211382113821142,False
ES3D,2023,Not determined,parent,Not determined,68,206,0.14077669902912626,0.4264705882352941,0.060975609756097615,False
ES3D,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
ES3D,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,639,0.6713615023474178,0.7283531409168081,0.06016260162601628,False
ES3D,2023,Aircraft-Aircraft power plant,child,Aircraft,175,262,0.5610687022900763,0.84,0.02195121951219514,False
ES3D,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,27,0.18518518518518523,0.25,0.004878048780487809,False
ES3D,2023,Aircraft-Aircraft structures,child,Aircraft,27,20,0.44999999999999996,0.3333333333333333,0.006504065040650375,False
ES3D,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.9398373983739837,True
ES3D,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.6317073170731707,True
ES3D,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.8292682926829268,True
ES3D,2023,Environmental issues-Operating environment,child,Environmental issues,11,1,0.0,0.0,0.0008130081300813385,False
ES3D,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.9024390243902439,True
ES3D,2023,Not determined-Not determined,child,Not determined,68,206,0.14077669902912626,0.4264705882352941,0.060975609756097615,False
ES3D,2023,Personnel issues-Action/decision,child,Personnel issues,373,444,0.4414414414414415,0.5254691689008043,0.15121951219512197,False
ES3D,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,46,0.23913043478260865,0.22916666666666666,0.019512195121951237,False
ES3D,2023,Personnel issues-Physical,child,Personnel issues,22,42,0.19047619047619047,0.36363636363636365,0.013821138211382089,False
ES3D,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.765040650406504,True
ES3D,2023,Personnel issues-Task performance,child,Personnel issues,684,662,0.6858006042296072,0.6637426900584795,0.12113821138211378,False
Labelwise RCPS,2023,Aircraft,parent,Aircraft,973,0,nan,0.0,1.0,False
Labelwise RCPS,2023,Personnel issues,parent,Personnel issues,931,0,nan,0.0,1.0,False
Labelwise RCPS,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.7455284552845529,False
Labelwise RCPS,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
Labelwise RCPS,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.7504065040650406,False
Labelwise RCPS,2023,Aircraft-Aircraft power plant,child,Aircraft,175,0,nan,0.0,0.10650406504065035,False
Labelwise RCPS,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.31219512195121957,True
Labelwise RCPS,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.033333333333333326,True
Labelwise RCPS,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.4926829268292683,True
Labelwise RCPS,2023,Environmental issues-Operating environment,child,Environmental issues,11,0,nan,0.0,0.0008130081300813385,False
Labelwise RCPS,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.6276422764227643,True
Labelwise RCPS,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,1.0,False
Labelwise RCPS,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0024390243902439046,False
Labelwise RCPS,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.23983739837398377,True
Labelwise RCPS,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.9886178861788618,False
Instancewise RCPS,2023,Aircraft,parent,Aircraft,973,275,0.8763636363636363,0.24768756423432683,0.7764227642276422,False
Instancewise RCPS,2023,Personnel issues,parent,Personnel issues,931,164,0.9207317073170732,0.16219119226638024,0.8666666666666667,False
Instancewise RCPS,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.6813008130081301,False
Instancewise RCPS,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
Instancewise RCPS,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.6634146341463414,False
Instancewise RCPS,2023,Aircraft-Aircraft power plant,child,Aircraft,175,0,nan,0.0,0.033333333333333326,False
Instancewise RCPS,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.01788617886178867,True
Instancewise RCPS,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.0,True
Instancewise RCPS,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.28861788617886175,True
Instancewise RCPS,2023,Environmental issues-Operating environment,child,Environmental issues,11,0,nan,0.0,0.0008130081300813385,False
Instancewise RCPS,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.29512195121951224,True
Instancewise RCPS,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.8390243902439024,False
Instancewise RCPS,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0024390243902439046,False
Instancewise RCPS,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.0,True
Instancewise RCPS,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.9878048780487805,False
LTT without hierarchy,2023,Aircraft,parent,Aircraft,973,275,0.8763636363636363,0.24768756423432683,0.7764227642276422,False
LTT without hierarchy,2023,Personnel issues,parent,Personnel issues,931,164,0.9207317073170732,0.16219119226638024,0.8666666666666667,False
LTT without hierarchy,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.6813008130081301,False
LTT without hierarchy,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
LTT without hierarchy,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.6634146341463414,False
LTT without hierarchy,2023,Aircraft-Aircraft power plant,child,Aircraft,175,0,nan,0.0,0.033333333333333326,False
LTT without hierarchy,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.01788617886178867,True
LTT without hierarchy,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.0,True
LTT without hierarchy,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.28861788617886175,True
LTT without hierarchy,2023,Environmental issues-Operating environment,child,Environmental issues,11,0,nan,0.0,0.0008130081300813385,False
LTT without hierarchy,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.29512195121951224,True
LTT without hierarchy,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.8390243902439024,False
LTT without hierarchy,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0024390243902439046,False
LTT without hierarchy,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.0,True
LTT without hierarchy,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.9878048780487805,False
F-DFHC without utility,2023,Aircraft,parent,Aircraft,973,3,0.6666666666666667,0.0020554984583761563,0.9975609756097561,False
F-DFHC without utility,2023,Personnel issues,parent,Personnel issues,931,164,0.9207317073170732,0.16219119226638024,0.8666666666666667,False
F-DFHC without utility,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.6813008130081301,False
F-DFHC without utility,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
F-DFHC without utility,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.6634146341463414,False
F-DFHC without utility,2023,Aircraft-Aircraft power plant,child,Aircraft,175,0,nan,0.0,0.033333333333333326,False
F-DFHC without utility,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.01788617886178867,True
F-DFHC without utility,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.0,True
F-DFHC without utility,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.2878048780487805,True
F-DFHC without utility,2023,Environmental issues-Operating environment,child,Environmental issues,11,0,nan,0.0,0.0008130081300813385,False
F-DFHC without utility,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.29512195121951224,True
F-DFHC without utility,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.8390243902439024,False
F-DFHC without utility,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0024390243902439046,False
F-DFHC without utility,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.0,True
F-DFHC without utility,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.9878048780487805,False
F-DFHC-U full,2023,Aircraft,parent,Aircraft,973,212,0.8915094339622641,0.19424460431654678,0.8276422764227642,False
F-DFHC-U full,2023,Personnel issues,parent,Personnel issues,931,164,0.9207317073170732,0.16219119226638024,0.8666666666666667,False
F-DFHC-U full,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.6813008130081301,False
F-DFHC-U full,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
F-DFHC-U full,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,2,0.5,0.001697792869269949,0.6617886178861789,False
F-DFHC-U full,2023,Aircraft-Aircraft power plant,child,Aircraft,175,29,0.9655172413793104,0.16,0.009756097560975618,False
F-DFHC-U full,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Aircraft-Aircraft systems,child,Aircraft,200,6,1.0,0.03,0.013008130081300862,True
F-DFHC-U full,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,6,0.6666666666666667,0.03773584905660377,0.0,True
F-DFHC-U full,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.2878048780487805,True
F-DFHC-U full,2023,Environmental issues-Operating environment,child,Environmental issues,11,0,nan,0.0,0.0008130081300813385,False
F-DFHC-U full,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.29512195121951224,True
F-DFHC-U full,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.8390243902439024,False
F-DFHC-U full,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0024390243902439046,False
F-DFHC-U full,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.0,True
F-DFHC-U full,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.9878048780487805,False
F-DFHC-U w/o projection,2023,Aircraft,parent,Aircraft,973,212,0.8915094339622641,0.19424460431654678,0.8276422764227642,False
F-DFHC-U w/o projection,2023,Personnel issues,parent,Personnel issues,931,164,0.9207317073170732,0.16219119226638024,0.8666666666666667,False
F-DFHC-U w/o projection,2023,Environmental issues,parent,Environmental issues,437,0,nan,0.0,0.6813008130081301,False
F-DFHC-U w/o projection,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft handling/service,child,Aircraft,11,0,nan,0.0,0.0008130081300813385,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,2,0.5,0.001697792869269949,0.6617886178861789,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft power plant,child,Aircraft,175,29,0.9655172413793104,0.16,0.009756097560975618,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft systems,child,Aircraft,200,6,1.0,0.03,0.013008130081300862,True
F-DFHC-U w/o projection,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,6,0.6666666666666667,0.03773584905660377,0.0,True
F-DFHC-U w/o projection,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.28861788617886175,True
F-DFHC-U w/o projection,2023,Environmental issues-Operating environment,child,Environmental issues,11,0,nan,0.0,0.0008130081300813385,False
F-DFHC-U w/o projection,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.29512195121951224,True
F-DFHC-U w/o projection,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.8390243902439024,False
F-DFHC-U w/o projection,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0024390243902439046,False
F-DFHC-U w/o projection,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.0,True
F-DFHC-U w/o projection,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.9878048780487805,False
BR-TFIDF threshold,2024,Aircraft,parent,Aircraft,790,936,0.829059829059829,0.9822784810126582,0.0,False
BR-TFIDF threshold,2024,Personnel issues,parent,Personnel issues,756,906,0.804635761589404,0.9642857142857143,0.0,False
BR-TFIDF threshold,2024,Environmental issues,parent,Environmental issues,369,668,0.4760479041916168,0.8617886178861789,0.0,False
BR-TFIDF threshold,2024,Organizational issues,parent,Organizational issues,7,82,0.03658536585365857,0.42857142857142855,0.0,False
BR-TFIDF threshold,2024,Not determined,parent,Not determined,26,143,0.09790209790209792,0.5384615384615384,0.0,False
BR-TFIDF threshold,2024,Aircraft-Aircraft handling/service,child,Aircraft,6,13,0.0,0.0,0.0,False
BR-TFIDF threshold,2024,Aircraft-Aircraft oper/perf/capability,child,Aircraft,484,731,0.612859097127223,0.9256198347107438,0.0,False
BR-TFIDF threshold,2024,Aircraft-Aircraft power plant,child,Aircraft,121,165,0.593939393939394,0.8099173553719008,0.0,False
BR-TFIDF threshold,2024,Aircraft-Aircraft propeller/rotor,child,Aircraft,13,26,0.23076923076923073,0.46153846153846156,0.0,False
BR-TFIDF threshold,2024,Aircraft-Aircraft structures,child,Aircraft,27,12,0.41666666666666663,0.18518518518518517,0.0,False
BR-TFIDF threshold,2024,Aircraft-Aircraft systems,child,Aircraft,169,191,0.3717277486910995,0.42011834319526625,0.0,True
BR-TFIDF threshold,2024,Aircraft-Fluids/misc hardware,child,Aircraft,79,153,0.2875816993464052,0.5569620253164557,0.0,True
BR-TFIDF threshold,2024,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,233,491,0.3727087576374746,0.7854077253218884,0.0,True
BR-TFIDF threshold,2024,Environmental issues-Operating environment,child,Environmental issues,7,184,0.021739130434782594,0.5714285714285714,0.0,False
BR-TFIDF threshold,2024,Environmental issues-Physical environment,child,Environmental issues,150,532,0.21240601503759393,0.7533333333333333,0.0,True
BR-TFIDF threshold,2024,Not determined-Not determined,child,Not determined,26,143,0.09790209790209792,0.5384615384615384,0.0,False
BR-TFIDF threshold,2024,Organizational issues-Support/oversight/monitoring,child,Organizational issues,7,82,0.03658536585365857,0.42857142857142855,0.0,False
BR-TFIDF threshold,2024,Personnel issues-Action/decision,child,Personnel issues,240,496,0.2963709677419355,0.6125,0.0,False
BR-TFIDF threshold,2024,Personnel issues-Experience/knowledge,child,Personnel issues,31,34,0.05882352941176472,0.06451612903225806,0.0,False
BR-TFIDF threshold,2024,Personnel issues-Physical,child,Personnel issues,11,21,0.19047619047619047,0.36363636363636365,0.0,False
BR-TFIDF threshold,2024,Personnel issues-Psychological,child,Personnel issues,99,253,0.17786561264822132,0.45454545454545453,0.0,True
BR-TFIDF threshold,2024,Personnel issues-Task performance,child,Personnel issues,571,828,0.6328502415458936,0.9176882661996497,0.0,False
ES3D,2024,Aircraft,parent,Aircraft,790,738,0.8658536585365854,0.8088607594936709,0.0820668693009119,False
ES3D,2024,Personnel issues,parent,Personnel issues,756,736,0.8519021739130435,0.8293650793650794,0.0314083080040527,False
ES3D,2024,Environmental issues,parent,Environmental issues,369,501,0.5149700598802396,0.6991869918699187,0.08510638297872342,False
ES3D,2024,Organizational issues,parent,Organizational issues,7,1,1.0,0.14285714285714285,0.0,False
ES3D,2024,Not determined,parent,Not determined,26,109,0.11926605504587151,0.5,0.03444782168186422,False
ES3D,2024,Aircraft-Aircraft handling/service,child,Aircraft,6,1,0.0,0.0,0.0020263424518743856,False
ES3D,2024,Aircraft-Aircraft oper/perf/capability,child,Aircraft,484,605,0.6495867768595041,0.8119834710743802,0.05369807497467072,False
ES3D,2024,Aircraft-Aircraft power plant,child,Aircraft,121,165,0.593939393939394,0.8099173553719008,0.010131712259371817,False
ES3D,2024,Aircraft-Aircraft propeller/rotor,child,Aircraft,13,18,0.33333333333333337,0.46153846153846156,0.0010131712259371373,False
ES3D,2024,Aircraft-Aircraft structures,child,Aircraft,27,12,0.41666666666666663,0.18518518518518517,0.00911854103343468,False
ES3D,2024,Aircraft-Aircraft systems,child,Aircraft,169,0,nan,0.0,0.8652482269503546,True
ES3D,2024,Aircraft-Fluids/misc hardware,child,Aircraft,79,5,1.0,0.06329113924050633,0.6352583586626139,True
ES3D,2024,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,233,0,nan,0.0,0.8216818642350557,True
ES3D,2024,Environmental issues-Operating environment,child,Environmental issues,7,1,0.0,0.0,0.0020263424518743856,False
ES3D,2024,Environmental issues-Physical environment,child,Environmental issues,150,0,nan,0.0,0.9078014184397163,True
ES3D,2024,Not determined-Not determined,child,Not determined,26,109,0.11926605504587151,0.5,0.03444782168186422,False
ES3D,2024,Organizational issues-Support/oversight/monitoring,child,Organizational issues,7,1,1.0,0.14285714285714285,0.0,False
ES3D,2024,Personnel issues-Action/decision,child,Personnel issues,240,363,0.3223140495867769,0.4875,0.13475177304964536,False
ES3D,2024,Personnel issues-Experience/knowledge,child,Personnel issues,31,34,0.05882352941176472,0.06451612903225806,0.01317122593718334,False
ES3D,2024,Personnel issues-Physical,child,Personnel issues,11,21,0.19047619047619047,0.36363636363636365,0.010131712259371817,False
ES3D,2024,Personnel issues-Psychological,child,Personnel issues,99,0,nan,0.0,0.7608915906788247,True
ES3D,2024,Personnel issues-Task performance,child,Personnel issues,571,581,0.6695352839931152,0.681260945709282,0.10233029381965553,False
Labelwise RCPS,2024,Aircraft,parent,Aircraft,790,0,nan,0.0,1.0,False
Labelwise RCPS,2024,Personnel issues,parent,Personnel issues,756,0,nan,0.0,1.0,False
Labelwise RCPS,2024,Environmental issues,parent,Environmental issues,369,0,nan,0.0,0.7852077001013171,False
Labelwise RCPS,2024,Organizational issues,parent,Organizational issues,7,0,nan,0.0,0.0010131712259371373,False
Labelwise RCPS,2024,Not determined,parent,Not determined,26,0,nan,0.0,0.0,False
Labelwise RCPS,2024,Aircraft-Aircraft handling/service,child,Aircraft,6,0,nan,0.0,0.0,False
Labelwise RCPS,2024,Aircraft-Aircraft oper/perf/capability,child,Aircraft,484,0,nan,0.0,0.8763931104356636,False
Labelwise RCPS,2024,Aircraft-Aircraft power plant,child,Aircraft,121,0,nan,0.0,0.09321175278622085,False
Labelwise RCPS,2024,Aircraft-Aircraft propeller/rotor,child,Aircraft,13,0,nan,0.0,0.0,False
Labelwise RCPS,2024,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
Labelwise RCPS,2024,Aircraft-Aircraft systems,child,Aircraft,169,0,nan,0.0,0.5977710233029382,True
Labelwise RCPS,2024,Aircraft-Fluids/misc hardware,child,Aircraft,79,0,nan,0.0,0.014184397163120588,True
Labelwise RCPS,2024,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,233,0,nan,0.0,0.5572441742654508,True
Labelwise RCPS,2024,Environmental issues-Operating environment,child,Environmental issues,7,0,nan,0.0,0.0,False
Labelwise RCPS,2024,Environmental issues-Physical environment,child,Environmental issues,150,0,nan,0.0,0.60790273556231,True
Labelwise RCPS,2024,Not determined-Not determined,child,Not determined,26,0,nan,0.0,0.0,False
Labelwise RCPS,2024,Organizational issues-Support/oversight/monitoring,child,Organizational issues,7,0,nan,0.0,0.0010131712259371373,False
Labelwise RCPS,2024,Personnel issues-Action/decision,child,Personnel issues,240,0,nan,0.0,0.9888551165146909,False
Labelwise RCPS,2024,Personnel issues-Experience/knowledge,child,Personnel issues,31,0,nan,0.0,0.0,False
Labelwise RCPS,2024,Personnel issues-Physical,child,Personnel issues,11,0,nan,0.0,0.0,False
Labelwise RCPS,2024,Personnel issues-Psychological,child,Personnel issues,99,0,nan,0.0,0.2563323201621074,True
Labelwise RCPS,2024,Personnel issues-Task performance,child,Personnel issues,571,0,nan,0.0,0.9685916919959473,False
