method,test_year,label,node_type,parent,support,close_positive_decisions,close_positive_precision,positive_coverage,defer_rate,is_late_emerging
F-DFHC without utility,2024,Environmental issues-Operating environment,child,Environmental issues,7,0,nan,0.0,0.0,False
F-DFHC without utility,2024,Environmental issues-Physical environment,child,Environmental issues,150,0,nan,0.0,0.23606889564336375,True
F-DFHC without utility,2024,Not determined-Not determined,child,Not determined,26,0,nan,0.0,0.0,False
F-DFHC without utility,2024,Organizational issues-Support/oversight/monitoring,child,Organizational issues,7,0,nan,0.0,0.0010131712259371373,False
F-DFHC without utility,2024,Personnel issues-Action/decision,child,Personnel issues,240,0,nan,0.0,0.8166160081053698,False
F-DFHC without utility,2024,Personnel issues-Experience/knowledge,child,Personnel issues,31,0,nan,0.0,0.0,False
F-DFHC without utility,2024,Personnel issues-Physical,child,Personnel issues,11,0,nan,0.0,0.0,False
F-DFHC without utility,2024,Personnel issues-Psychological,child,Personnel issues,99,0,nan,0.0,0.0,True
F-DFHC without utility,2024,Personnel issues-Task performance,child,Personnel issues,571,0,nan,0.0,0.9685916919959473,False
F-DFHC-U full,2024,Aircraft,parent,Aircraft,790,154,0.922077922077922,0.17974683544303796,0.8439716312056738,False
F-DFHC-U full,2024,Personnel issues,parent,Personnel issues,756,0,nan,0.0,1.0,False
F-DFHC-U full,2024,Environmental issues,parent,Environmental issues,369,0,nan,0.0,0.7274569402228976,False
F-DFHC-U full,2024,Organizational issues,parent,Organizational issues,7,0,nan,0.0,0.0010131712259371373,False
F-DFHC-U full,2024,Not determined,parent,Not determined,26,0,nan,0.0,0.0,False
F-DFHC-U full,2024,Aircraft-Aircraft handling/service,child,Aircraft,6,0,nan,0.0,0.0,False
F-DFHC-U full,2024,Aircraft-Aircraft oper/perf/capability,child,Aircraft,484,5,0.8,0.008264462809917356,0.7801418439716312,False
F-DFHC-U full,2024,Aircraft-Aircraft power plant,child,Aircraft,121,26,0.9615384615384616,0.2066115702479339,0.025329280648429542,False
F-DFHC-U full,2024,Aircraft-Aircraft propeller/rotor,child,Aircraft,13,0,nan,0.0,0.0,False
F-DFHC-U full,2024,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
F-DFHC-U full,2024,Aircraft-Aircraft systems,child,Aircraft,169,7,1.0,0.04142011834319527,0.09118541033434646,True
F-DFHC-U full,2024,Aircraft-Fluids/misc hardware,child,Aircraft,79,3,1.0,0.0379746835443038,0.0,True
F-DFHC-U full,2024,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,233,0,nan,0.0,0.3444782168186423,True
F-DFHC-U full,2024,Environmental issues-Operating environment,child,Environmental issues,7,0,nan,0.0,0.0,False
