test_year,calibration_year,calibration_samples,test_samples,label_prevalence_l1,label_prevalence_max,score_mean_l1,score_ks_mean,calibration_empirical_all_risk,test_empirical_all_risk,risk_drift,coverage_drift,positive_coverage_drift
2023,2022,1288,1230,0.009918383578245713,0.02983765086098067,0.0047995842472298555,0.03780860223198505,0.04479813664596273,0.049024390243902434,0.004226253597939704,0.0014172726354590992,-0.0036983539334230486
2024,2023,1231,987,0.013729513885069823,0.059844592208869646,0.022394060782829003,0.08901439861392849,0.04209438003101691,0.036428110896196,-0.005666269134820913,-0.008417080266640453,0.001010212287794826
2025,2024,987,654,0.021970633526362592,0.0935417305708151,0.04356608550081919,0.1408641080220233,0.03706518068220195,0.03484964322120285,-0.0022155374609991035,-0.02405139132886558,-0.03947884118756461
