method,test_year,label,node_type,parent,support,close_positive_decisions,close_positive_precision,positive_coverage,defer_rate,is_late_emerging
Labelwise RCPS,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.03254678600488203,True
Labelwise RCPS,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.51586655817738,True
Labelwise RCPS,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.676159479251424,True
Labelwise RCPS,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.9951179820992677,False
Labelwise RCPS,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
Labelwise RCPS,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.2457282343368592,True
Labelwise RCPS,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.983726606997559,False
Instancewise RCPS,2023,Aircraft,parent,Aircraft,969,78,0.8974358974358975,0.07223942208462332,0.9316517493897478,False
Instancewise RCPS,2023,Personnel issues,parent,Personnel issues,931,81,0.9012345679012346,0.07841031149301826,0.934092758340114,False
Instancewise RCPS,2023,Environmental issues,parent,Environmental issues,429,0,nan,0.0,0.6078112286411717,False
Instancewise RCPS,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.6851098454027664,False
Instancewise RCPS,2023,Aircraft-Aircraft power plant,child,Aircraft,175,36,0.9166666666666666,0.18857142857142858,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.017900732302685074,True
Instancewise RCPS,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.0,True
Instancewise RCPS,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.26118795768917824,True
Instancewise RCPS,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.2880390561432059,True
Instancewise RCPS,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.8275020341741253,False
Instancewise RCPS,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
Instancewise RCPS,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.0008136696501220841,True
Instancewise RCPS,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.983726606997559,False
LTT without hierarchy,2023,Aircraft,parent,Aircraft,969,169,0.9053254437869822,0.15789473684210525,0.8576078112286412,False
LTT without hierarchy,2023,Personnel issues,parent,Personnel issues,931,81,0.9012345679012346,0.07841031149301826,0.934092758340114,False
LTT without hierarchy,2023,Environmental issues,parent,Environmental issues,429,0,nan,0.0,0.6598860862489829,False
LTT without hierarchy,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.7306753458096014,False
LTT without hierarchy,2023,Aircraft-Aircraft power plant,child,Aircraft,175,36,0.9166666666666666,0.18857142857142858,0.017900732302685074,False
LTT without hierarchy,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
