test_year,calibration_year,empirical_risk,certified_bound,bound_valid,close_positive_precision,positive_coverage,event_positive_coverage,overall_coverage
2023,2022,0.049024390243902434,0.07395207139017153,True,0.9045346062052506,0.07093393224780085,0.25447154471544714,0.72630081300813
2024,2023,0.036428110896196,0.07202288394796422,True,0.9282051282051282,0.042870677404073895,0.14387031408308004,0.7347333517546283
2025,2024,0.03484964322120285,0.07322726830709872,True,0.9035087719298246,0.03489159891598916,0.1452599388379205,0.7484072375127421
