method,test_years,close_positive_precision,positive_coverage,event_positive_coverage,event_close_positive_rate,event_any_closure_rate,defer_rate,workload_reduction,overall_coverage,empirical_all_risk,certified_all_bound,projected_hierarchy_violations,raw_hierarchy_violations,late_premature_closure_risk,parent_close_positive_precision,child_close_positive_precision,parent_positive_coverage,child_positive_coverage,parent_f1,child_f1
BR-TFIDF threshold,3,0.5135180572366568,0.8425970104740129,0.9850582975866846,1.0,1.0,0.0,1.0,1.0,0.19099200744980419,nan,498,498,0.21702292251722607,0.6874981716559038,0.4057607274680491,0.9474492387133143,0.7542547967048217,0.7966997274819115,0.5268113257255669
ES3D,3,0.6425456026462432,0.6064758543192633,0.9557636913197441,0.9991202708379667,1.0,0.21465561581669948,0.7853443841833005,0.7853443841833005,0.10117423228236251,nan,2346,2346,0.00020387359836901125,0.7322641379956076,0.5455792819330432,0.7852121210485645,0.45596556651380366,0.7577426528876128,0.4966393292626992
F-DFHC without utility,3,0.9720558882235529,0.012128561651238759,0.05262069165127111,0.05614372688162341,1.0,0.27163689828833393,0.7283631017116661,0.7283631017116661,0.03946385526977358,0.07299295204783236,0,5,0.0,0.9720558882235529,0.0,0.026774743255089925,0.0,0.05067242447034842,0.0
F-DFHC-U full,3,0.9120828354467344,0.04956540285595464,0.18120059921214923,0.19739619453582788,1.0,0.2635195325748332,0.7364804674251668,0.7364804674251668,0.04010071478710043,0.07306740788174482,0,5,0.00010840108401084011,0.910365048662921,0.9156950484233524,0.09471445990859244,0.01181740730911411,0.16980385881943447,0.02328560599923632
F-DFHC-U w/o projection,3,0.9120828354467344,0.04956540285595464,0.18120059921214923,0.19739619453582788,1.0,0.2636062585350231,0.7363937414649769,0.7363937414649769,0.04007947795393699,0.07306740788174482,5,5,0.00010840108401084011,0.910365048662921,0.9156950484233524,0.09471445990859244,0.01181740730911411,0.16980385881943447,0.02328560599923632
Instancewise RCPS,3,0.904597379036305,0.04905629491927795,0.19566074490113852,0.21456636732508816,1.0,0.26349829889043286,0.736501701109567,0.736501701109567,0.04025923160281363,0.07292307850640163,12,12,0.0,0.9065927744743235,0.5440613026819924,0.10190969998054482,0.004939266988987524,0.18017576825938497,0.009768917322573366
LTT without hierarchy,3,0.904597379036305,0.04905629491927795,0.19566074490113852,0.21456636732508816,1.0,0.26349829889043286,0.736501701109567,0.736501701109567,0.04025923160281363,0.07292307850640163,12,12,0.0,0.9065927744743235,0.5440613026819924,0.10190969998054482,0.004939266988987524,0.18017576825938497,0.009768917322573366
Labelwise RCPS,3,0.0,0.0,0.0,0.0,1.0,0.3637301299676385,0.6362698700323616,0.6362698700323616,0.021590065789158355,0.033162566956738505,57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
