method,test_year,raw_hierarchy_violations,projected_hierarchy_violations,projection_action_changes,projection_change_rate,empirical_all_risk,positive_coverage
BR-TFIDF threshold,2023,250,250,0,0.0,0.2223578338305759,0.855151629308721
ES3D,2023,1184,1184,0,0.0,0.13118162914745501,0.5778866076473912
Labelwise RCPS,2023,70,70,0,0.0,0.03132628152969894,0.0
Instancewise RCPS,2023,32,32,0,0.0,0.05478708977488474,0.03315125258994161
LTT without hierarchy,2023,25,25,0,0.0,0.04692161649037158,0.048785081936334525
F-DFHC without utility,2023,8,0,8,0.0003616309556098002,0.054832293644335964,0.026935392729327556
F-DFHC-U full,2023,11,0,11,0.0004972425639634753,0.04692161649037158,0.05104539461292146
F-DFHC-U w/o projection,2023,11,11,0,0.0,0.04683120875146913,0.05104539461292146
