child_positive_alpha,parent_positive_alpha,personnel_parent_positive_alpha,parent_positive_floor,negative_alpha,late_positive_alpha,min_count,reliability_floor,reliability_min_count,child_reliability_lcb_floor,child_reliability_min_count,aircraft_child_floor,child_margin,candidate_count,cal_coverage,cal_positive_coverage,cal_close_positive_precision,cal_empirical_all_risk,cal_empirical_plus_risk,cal_empirical_hierarchy_risk,cal_empirical_late_risk,upper_all_risk,upper_plus_risk,upper_hierarchy_risk,upper_late_risk,lower_coverage,lower_positive_coverage,utility_objective,test_year,candidate_family
0.0,0.04,0.0,0.0,0.1,0.0,3,0.0,20,0.0,20,0.0,0.0,6780,0.6594634230503796,0.013711151736745886,0.974025974025974,0.0418391994478951,0.0015527950310559005,0.0012077294685990338,0.0,0.07126228901160905,0.026898248862007913,0.02388949140730368,0.0023231763334311973,0.6248940219712912,0.0,0.6248940219712912,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.1,0.0,3,0.0,20,0.85,20,0.0,0.0,6780,0.6594634230503796,0.013711151736745886,0.974025974025974,0.0418391994478951,0.0015527950310559005,0.0012077294685990338,0.0,0.07126228901160905,0.026898248862007913,0.02388949140730368,0.0023231763334311973,0.6248940219712912,0.0,0.6248940219712912,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.1,0.0,3,0.9,20,0.0,20,0.0,0.0,6780,0.6594634230503796,0.013711151736745886,0.974025974025974,0.0418391994478951,0.0015527950310559005,0.0012077294685990338,0.0,0.07126228901160905,0.026898248862007913,0.02388949140730368,0.0023231763334311973,0.6248940219712912,0.0,0.6248940219712912,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.1,0.0,3,0.9,20,0.85,20,0.0,0.0,6780,0.6594634230503796,0.013711151736745886,0.974025974025974,0.0418391994478951,0.0015527950310559005,0.0012077294685990338,0.0,0.07126228901160905,0.026898248862007913,0.02388949140730368,0.0023231763334311973,0.6248940219712912,0.0,0.6248940219712912,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.12,0.0,3,0.0,20,0.0,20,0.0,0.0,6780,0.6867667356797792,0.013711151736745886,0.974025974025974,0.04964630779848171,0.0015527950310559005,0.00030193236714975844,0.0,0.07965532674080644,0.026898248862007913,0.022983694305854407,0.0023231763334311973,0.6520996563241842,0.0,0.6520996563241842,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.12,0.0,3,0.0,20,0.85,20,0.0,0.0,6780,0.6867667356797792,0.013711151736745886,0.974025974025974,0.04964630779848171,0.0015527950310559005,0.00030193236714975844,0.0,0.07965532674080644,0.026898248862007913,0.022983694305854407,0.0023231763334311973,0.6520996563241842,0.0,0.6520996563241842,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.12,0.0,3,0.9,20,0.0,20,0.0,0.0,6780,0.6867667356797792,0.013711151736745886,0.974025974025974,0.04964630779848171,0.0015527950310559005,0.00030193236714975844,0.0,0.07965532674080644,0.026898248862007913,0.022983694305854407,0.0023231763334311973,0.6520996563241842,0.0,0.6520996563241842,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.12,0.0,3,0.9,20,0.85,20,0.0,0.0,6780,0.6867667356797792,0.013711151736745886,0.974025974025974,0.04964630779848171,0.0015527950310559005,0.00030193236714975844,0.0,0.07965532674080644,0.026898248862007913,0.022983694305854407,0.0023231763334311973,0.6520996563241842,0.0,0.6520996563241842,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.14,0.0,3,0.0,20,0.0,20,0.0,0.0,6780,0.7052708764665286,0.013711151736745886,0.974025974025974,0.0557712215320911,0.0015527950310559005,0.0,0.0,0.08581371191421933,0.026898248862007913,0.022681761938704647,0.0023231763334311973,0.6714841135056324,0.0,0.6714841135056324,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.14,0.0,3,0.0,20,0.85,20,0.0,0.0,6780,0.7052708764665286,0.013711151736745886,0.974025974025974,0.0557712215320911,0.0015527950310559005,0.0,0.0,0.08581371191421933,0.026898248862007913,0.022681761938704647,0.0023231763334311973,0.6714841135056324,0.0,0.6714841135056324,2023,no_hierarchy
