child_positive_alpha,parent_positive_alpha,personnel_parent_positive_alpha,parent_positive_floor,negative_alpha,late_positive_alpha,min_count,reliability_floor,reliability_min_count,child_reliability_lcb_floor,child_reliability_min_count,aircraft_child_floor,child_margin,candidate_count,cal_coverage,cal_positive_coverage,cal_close_positive_precision,cal_empirical_all_risk,cal_empirical_plus_risk,cal_empirical_hierarchy_risk,cal_empirical_late_risk,upper_all_risk,upper_plus_risk,upper_hierarchy_risk,upper_late_risk,lower_coverage,lower_positive_coverage,utility_objective,test_year,candidate_family
0.0,0.04,0.0,0.0,0.1,0.0,3,0.0,20,0.0,20,0.0,0.0,6780,0.6896739130434782,0.0,0.0,0.038159937888198756,0.0,0.00019409937888198754,0.0,0.06690668022379707,0.020168407748640097,0.022875861317586635,0.0023231763334311973,0.657219132179065,0.0,0.657219132179065,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.1,0.0,3,0.0,20,0.85,20,0.0,0.0,6780,0.6896739130434782,0.0,0.0,0.038159937888198756,0.0,0.00019409937888198754,0.0,0.06690668022379707,0.020168407748640097,0.022875861317586635,0.0023231763334311973,0.657219132179065,0.0,0.657219132179065,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.1,0.0,3,0.9,20,0.0,20,0.0,0.0,6780,0.6896739130434782,0.0,0.0,0.038159937888198756,0.0,0.00019409937888198754,0.0,0.06690668022379707,0.020168407748640097,0.022875861317586635,0.0023231763334311973,0.657219132179065,0.0,0.657219132179065,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.1,0.0,3,0.9,20,0.85,20,0.0,0.0,6780,0.6896739130434782,0.0,0.0,0.038159937888198756,0.0,0.00019409937888198754,0.0,0.06690668022379707,0.020168407748640097,0.022875861317586635,0.0023231763334311973,0.657219132179065,0.0,0.657219132179065,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.12,0.0,3,0.0,20,0.0,20,0.0,0.0,6780,0.7076863354037267,0.0,0.0,0.04363354037267081,0.0,0.00011645962732919254,0.0,0.07268479936393793,0.020168407748640097,0.02279822156603384,0.0023231763334311973,0.6748518487185782,0.0,0.6748518487185782,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.12,0.0,3,0.0,20,0.85,20,0.0,0.0,6780,0.7076863354037267,0.0,0.0,0.04363354037267081,0.0,0.00011645962732919254,0.0,0.07268479936393793,0.020168407748640097,0.02279822156603384,0.0023231763334311973,0.6748518487185782,0.0,0.6748518487185782,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.12,0.0,3,0.9,20,0.0,20,0.0,0.0,6780,0.7076863354037267,0.0,0.0,0.04363354037267081,0.0,0.00011645962732919254,0.0,0.07268479936393793,0.020168407748640097,0.02279822156603384,0.0023231763334311973,0.6748518487185782,0.0,0.6748518487185782,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.12,0.0,3,0.9,20,0.85,20,0.0,0.0,6780,0.7076863354037267,0.0,0.0,0.04363354037267081,0.0,0.00011645962732919254,0.0,0.07268479936393793,0.020168407748640097,0.02279822156603384,0.0023231763334311973,0.6748518487185782,0.0,0.6748518487185782,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.14,0.0,3,0.0,20,0.0,20,0.0,0.0,6780,0.7332298136645963,0.0,0.0,0.05174689440993789,0.0,0.0,0.0,0.08114509027490052,0.020168407748640097,0.022681761938704647,0.0023231763334311973,0.7011810971944491,0.0,0.7011810971944491,2023,no_hierarchy
0.0,0.04,0.0,0.0,0.14,0.0,3,0.0,20,0.85,20,0.0,0.0,6780,0.7332298136645963,0.0,0.0,0.05174689440993789,0.0,0.0,0.0,0.08114509027490052,0.020168407748640097,0.022681761938704647,0.0023231763334311973,0.7011810971944491,0.0,0.7011810971944491,2023,no_hierarchy
