method,test_year,parent_close_positive_precision,child_close_positive_precision,parent_positive_coverage,child_positive_coverage,parent_f1,child_f1,raw_hierarchy_violations,projected_hierarchy_violations,close_positive_precision,positive_coverage,projection_action_changes,projection_change_rate
BR-TFIDF threshold,2023,0.6873265494912119,0.42427024049935746,0.9299123904881101,0.7936126373626373,0.7904255319148936,0.5529369541811221,250,250,0.5224395857307249,0.855151629308721,0,0.0
ES3D,2023,0.7208924949290061,0.5241575314656922,0.7413433458489779,0.44333791208791207,0.7309749074454956,0.48037209302325584,1184,1184,0.622564935064935,0.5778866076473912,0,0.0
Labelwise RCPS,2023,0.0,0.0,0.0,0.0,0.0,0.0,70,70,0.0,0.0,0,0.0
Instancewise RCPS,2023,0.89937106918239,0.9166666666666666,0.05965790571547768,0.011332417582417582,0.11189358372456965,0.022388059701492536,32,32,0.9025641025641026,0.03315125258994161,0,0.0
LTT without hierarchy,2023,0.904,0.9166666666666666,0.09428452231956612,0.011332417582417582,0.1707593502077824,0.022388059701492536,25,25,0.9055944055944056,0.048785081936334525,0,0.0
F-DFHC without utility,2023,0.89937106918239,0.0,0.05965790571547768,0.0,0.11189358372456965,0.0,8,0,0.89937106918239,0.026935392729327556,8,0.0003616309556098002
F-DFHC-U full,2023,0.904,0.9,0.09428452231956612,0.015453296703296704,0.1707593502077824,0.03038487508440243,11,0,0.9033333333333333,0.05104539461292146,11,0.0004972425639634753
F-DFHC-U w/o projection,2023,0.904,0.9,0.09428452231956612,0.015453296703296704,0.1707593502077824,0.03038487508440243,11,11,0.9033333333333333,0.05104539461292146,0,0.0
