method,test_year,calibration_year,positive_budget,close_positive_decisions,true_positive_closed,false_positive_closed,close_positive_precision,positive_coverage,event_positive_coverage,true_positive_yield_per_event,positive_actions_per_event,net_utility_per_event
F-DFHC-U full,2023,2022,top-1,339,307,32,0.9056047197640118,0.05745835672842972,0.24959349593495936,0.24959349593495936,0.275609756097561,0.22357723577235772
F-DFHC-U full,2023,2022,top-2,418,378,40,0.9043062200956937,0.07074677147669849,0.25447154471544714,0.3073170731707317,0.33983739837398375,0.27479674796747966
F-DFHC-U full,2023,2022,all,419,379,40,0.9045346062052506,0.07093393224780085,0.25447154471544714,0.308130081300813,0.34065040650406503,0.275609756097561
