method,test_year,closed_precision,aggregate_closed_precision,close_positive_precision,positive_coverage,overall_coverage,empirical_all_risk,certified_all_bound,certified_plus_bound,certified_late_bound,hierarchy_violations,late_premature_closure_risk,closed_decisions,wrong_closed_decisions,close_positive_decisions,calibration_coverage,calibration_all_risk,positive_alpha,negative_alpha,late_positive_alpha
BR-TFIDF threshold,2023,0.8262195121951219,0.8262195121951219,0.4502864157119476,0.7501704158145875,1.0,0.17378048780487804,nan,nan,nan,0,0.17544715447154471,19680,3420,4888,nan,nan,nan,nan,nan
ES3D,2023,0.9252032520325203,0.8916770917653984,0.5483184333759046,0.4389911383776414,0.6904979674796748,0.07479674796747968,nan,nan,nan,0,0.0,13589,1472,2349,nan,nan,nan,nan,nan
F-DFHC,2023,0.9582317073170732,0.9452547452547453,1.0,0.004430811179277437,0.7629573170731707,0.04176829268292683,0.05596746294586098,0.012663303351677768,0.012663303351677768,0,0.0,15015,822,13,0.7627620341614907,0.03872282608695652,0.0,0.09,0.0
BR-TFIDF threshold,2024,0.8088682281423207,0.8088682281423207,0.3928817451205511,0.7524186455584873,1.0,0.1911317718576792,nan,nan,nan,0,0.2358662613981763,16779,3207,4355,nan,nan,nan,nan,nan
ES3D,2024,0.9273496632695631,0.8995219254863172,0.5391440501043842,0.4542656112576957,0.7230466654747005,0.07265033673043687,nan,nan,nan,0,0.0,12132,1219,1916,nan,nan,nan,nan,nan
F-DFHC,2024,0.9681149055366828,0.957747591217817,0.8888888888888888,0.007036059806508356,0.7546337684009774,0.03188509446331724,0.05328142409049431,0.013250139360657956,0.013250139360657956,0,0.0004052684903748734,12662,535,18,0.764849237826731,0.035647727815740424,0.0,0.09,0.0
BR-TFIDF threshold,2025,0.805729921133108,0.805729921133108,0.37411402157164864,0.7601753287413902,1.0,0.194270078866892,nan,nan,nan,0,0.2397553516819572,12426,2414,3245,nan,nan,nan,nan,nan
ES3D,2025,0.9375502977627556,0.9164243403338719,0.5659722222222222,0.4082654978083907,0.7472235634958957,0.062449702237244484,nan,nan,nan,0,0.0006116207951070337,9285,776,1152,nan,nan,nan,nan,nan
F-DFHC,2025,0.9763399323998069,0.9677772906619904,0.8181818181818181,0.005635566687539136,0.7342668598100757,0.02366006760019314,0.04580655106617812,0.016529078512788325,0.016529078512788325,0,0.0,9124,294,11,0.752199648056311,0.02500933184023889,0.0,0.09,0.0
