method,test_years,closed_precision,aggregate_closed_precision,close_positive_precision,positive_coverage,overall_coverage,empirical_all_risk,certified_all_bound,hierarchy_violations,late_premature_closure_risk
BR-TFIDF threshold,1,0.8262195121951219,0.8262195121951219,0.4502864157119476,0.7501704158145875,1.0,0.17378048780487804,nan,0,0.17544715447154471
ES3D,1,0.9252032520325203,0.8916770917653984,0.5483184333759046,0.4389911383776414,0.6904979674796748,0.07479674796747968,nan,0,0.0
F-DFHC,1,0.9582317073170732,0.9452547452547453,1.0,0.004430811179277437,0.7629573170731707,0.04176829268292683,0.05596746294586098,0,0.0
