method,test_years,closed_precision,aggregate_closed_precision,close_positive_precision,positive_coverage,overall_coverage,empirical_all_risk,certified_all_bound,hierarchy_violations,late_premature_closure_risk
BR-TFIDF threshold,3,0.8136058871568502,0.8136058871568502,0.4057607274680491,0.7542547967048217,1.0,0.18639411284314975,nan,0,0.21702292251722607
ES3D,3,0.9300344043549463,0.9025411191951959,0.551144901900837,0.43384074914790927,0.7202560654834237,0.06996559564505368,nan,0,0.00020387359836901125
F-DFHC,3,0.9675621817511876,0.9569265423781843,0.9023569023569022,0.005700812557774976,0.7506193150947412,0.0324378182488124,0.05168514603417781,0,0.00013508949679162446
