test_year,stage,n_samples,n_labels,micro_precision,micro_recall,micro_f1,macro_f1,samples_f1,jaccard_samples,mean_binary_entropy,method,runtime_seconds,source_doi,blend_alpha,svd_rank,hierarchy_beta,alignment_gamma
2022,event_aircraft_core,1288,16,0.2529019003595275,0.8258973498825898,0.38722868826675055,0.248790697120798,0.3802930527891708,0.2483219765052063,0.7604799842214645,BR-TFIDF,2.812,,,,,
2022,event_aircraft_core,1288,16,0.2591194968553459,0.8292519288829252,0.3948566408433831,0.25005341277416293,0.3883971563947359,0.25537326932901466,0.7255575841636317,VCLDL-adapted,2.346,10.1109/TKDE.2023.3323401,0.5,,,
2022,event_aircraft_core,1288,16,0.258789860997547,0.849379402884938,0.3967097532314924,0.2486017560730437,0.3902825962654242,0.2573335287038703,0.6460601370768477,SIHTC-adapted,2.351,10.1109/TKDE.2025.3579810,0.45,6,,
2022,event_aircraft_core,1288,16,0.19967734839040846,0.9134518617913452,0.32771693344566133,0.24865653256381728,0.32390100275546785,0.20136526797046986,0.8878607597787762,MatchXML-adapted,0.968,10.1109/TKDE.2024.3374750,,,,
2022,event_aircraft_core,1288,16,0.20014781966001477,0.908419993290842,0.32802374174792565,0.2482739090331439,0.3253537174619252,0.2027180807460311,0.8743137221727986,LSPCL-adapted,0.968,10.1016/j.knosys.2024.112887,,,,
2022,event_aircraft_core,1288,16,0.2529019003595275,0.8258973498825898,0.38722868826675055,0.248790697120798,0.3802930527891708,0.2483219765052063,0.7604799842214645,HALB-adapted,2.17,10.1016/j.knosys.2024.112153,,,1.0,
2022,event_aircraft_core,1288,16,0.2529019003595275,0.8258973498825898,0.38722868826675055,0.248790697120798,0.3802930527891708,0.2483219765052063,0.7604799842214645,DyLas-adapted,2.282,10.1016/j.inffus.2025.103081,,,,0.0
2022,event_aircraft_weather,1288,16,0.24145425805176843,0.8198591076819859,0.37304434099061284,0.2466138881812941,0.36417562020754385,0.23520127431229915,0.7670625117493425,BR-TFIDF,0.759,,,,,
2022,event_aircraft_weather,1288,16,0.24355858045697618,0.8403220395840322,0.3776571687019448,0.2464966643316769,0.37060441182655285,0.2404451720639609,0.7255273762160501,VCLDL-adapted,2.323,10.1109/TKDE.2023.3323401,0.5,,,
2022,event_aircraft_weather,1288,16,0.24486418070295005,0.8436766185843677,0.3795653486266224,0.24339079800139543,0.37410833531243654,0.24335228694700742,0.6459154655165502,SIHTC-adapted,2.369,10.1109/TKDE.2025.3579810,0.45,6,,
2022,event_aircraft_weather,1288,16,0.19533114558472553,0.8785642401878564,0.31960461285008235,0.2305707680289269,0.32002784335985063,0.20024830888573125,0.8992802445998752,MatchXML-adapted,1.188,10.1109/TKDE.2024.3374750,,,,
2022,event_aircraft_weather,1288,16,0.17910346695557963,0.8872861455887286,0.2980449602794524,0.2321704645826952,0.29668610650615296,0.18156569211499335,0.8910009971189478,LSPCL-adapted,1.191,10.1016/j.knosys.2024.112887,,,,
2022,event_aircraft_weather,1288,16,0.24145425805176843,0.8198591076819859,0.37304434099061284,0.2466138881812941,0.36417562020754385,0.23520127431229915,0.7670625117493425,HALB-adapted,2.291,10.1016/j.knosys.2024.112153,,,1.0,
2022,event_aircraft_weather,1288,16,0.24145425805176843,0.8198591076819859,0.37304434099061284,0.2466138881812941,0.36417562020754385,0.23520127431229915,0.7670625117493425,DyLas-adapted,2.357,10.1016/j.inffus.2025.103081,,,,0.0
2022,preliminary,1288,16,0.3655913978494624,0.8097953706809795,0.5037562604340567,0.3814233714475086,0.4955677991780476,0.3515410874494725,0.7003768150086901,BR-TFIDF,6.013,,,,,
2022,preliminary,1288,16,0.36633363608840447,0.8118081180811808,0.5048503181391467,0.38145881312842567,0.4954913961125141,0.3516141898129476,0.6975065830456104,VCLDL-adapted,2.321,10.1109/TKDE.2023.3323401,0.8,,,
2022,preliminary,1288,16,0.37503905029678225,0.8054344179805435,0.5117766172865821,0.38680578425408507,0.5041286439578364,0.3610431063070815,0.6928702529364289,SIHTC-adapted,2.338,10.1109/TKDE.2025.3579810,0.85,6,,
2022,preliminary,1288,16,0.3127124405166553,0.7715531700771553,0.44504643962848295,0.3032764204304862,0.44961673475244807,0.31791784173383547,0.787609472359691,MatchXML-adapted,9.059,10.1109/TKDE.2024.3374750,,,,
2022,preliminary,1288,16,0.30256545887331393,0.7675276752767528,0.43403205918618987,0.31659372892848514,0.4385005200452747,0.3059003410323286,0.7834486677649073,LSPCL-adapted,9.314,10.1016/j.knosys.2024.112887,,,,
2022,preliminary,1288,16,0.3655913978494624,0.8097953706809795,0.5037562604340567,0.3814233714475086,0.4955677991780476,0.3515410874494725,0.7003768150086901,HALB-adapted,7.029,10.1016/j.knosys.2024.112153,,,1.0,
2022,preliminary,1288,16,0.3748816661407384,0.7970479704797048,0.5099259577207855,0.38187349208589877,0.5013578984852277,0.3586237821874468,0.7235323262187499,DyLas-adapted,2.317,10.1016/j.inffus.2025.103081,,,,0.1
2022,mature_factual,1288,16,0.5280352177942539,0.7645085541764508,0.6246402631218309,0.4770262220060527,0.620793057012001,0.5000856502021098,0.648019924436928,BR-TFIDF,7.364,,,,,
2022,mature_factual,1288,16,0.5280352177942539,0.7645085541764508,0.6246402631218309,0.4770262220060527,0.620793057012001,0.5000856502021098,0.648019924436928,VCLDL-adapted,2.336,10.1109/TKDE.2023.3323401,1.0,,,
