test_year,stage,n_samples,n_labels,micro_precision,micro_recall,micro_f1,macro_f1,samples_f1,jaccard_samples,mean_binary_entropy,method,runtime_seconds,source_doi,blend_alpha,svd_rank,hierarchy_beta,alignment_gamma
2023,event_aircraft_core,1231,17,0.2802388059701493,0.795593220338983,0.4144812362030905,0.24595945031397276,0.4051247407175156,0.27256070718702724,0.7251357968947663,BR-TFIDF,2.873,,,,,
2023,event_aircraft_core,1231,17,0.28156117660524205,0.8338983050847457,0.42098057670916406,0.2418884620570465,0.41237551187974086,0.27715439853945134,0.695193599064939,VCLDL-adapted,5.426,10.1109/TKDE.2023.3323401,0.5,,,
2023,event_aircraft_core,1231,17,0.28486819184763673,0.8315254237288136,0.42435775451950525,0.24502286566016865,0.4153553384224288,0.27992980257399425,0.6674625591071064,SIHTC-adapted,5.394,10.1109/TKDE.2025.3579810,0.6,6,,
2023,event_aircraft_core,1231,17,0.23387872954764197,0.9061016949152543,0.3717921969538911,0.22617730476588366,0.36549961895530325,0.23576331688519292,0.876743267550352,MatchXML-adapted,1.201,10.1109/TKDE.2024.3374750,,,,
2023,event_aircraft_core,1231,17,0.24433927245731255,0.892542372881356,0.3836514643741804,0.22733104838814594,0.3775194430626346,0.24813184736609023,0.861552916665905,LSPCL-adapted,1.147,10.1016/j.knosys.2024.112887,,,,
2023,event_aircraft_core,1231,17,0.2802388059701493,0.795593220338983,0.4144812362030905,0.24595945031397276,0.4051247407175156,0.27256070718702724,0.7251357968947663,HALB-adapted,5.424,10.1016/j.knosys.2024.112153,,,1.0,
2023,event_aircraft_core,1231,17,0.2802388059701493,0.795593220338983,0.4144812362030905,0.24595945031397276,0.4051247407175156,0.27256070718702724,0.7251357968947663,DyLas-adapted,6.578,10.1016/j.inffus.2025.103081,,,,0.0
2023,event_aircraft_weather,1231,17,0.2539246898671643,0.7840677966101695,0.38361389833319515,0.24589468944389103,0.3743727096082905,0.24611332119455592,0.7341161593192457,BR-TFIDF,1.078,,,,,
2023,event_aircraft_weather,1231,17,0.2960841768779968,0.7535593220338983,0.42512908777969016,0.24650240512902666,0.4116720922366739,0.2815753273714281,0.7144765069622718,VCLDL-adapted,3.59,10.1109/TKDE.2023.3323401,0.65,,,
2023,event_aircraft_weather,1231,17,0.2967389892165779,0.7742372881355932,0.4290410444256598,0.24354285389797656,0.41748276319762917,0.28730199757819574,0.6699150593175248,SIHTC-adapted,3.694,10.1109/TKDE.2025.3579810,0.6,6,,
2023,event_aircraft_weather,1231,17,0.22859472682794238,0.8552542372881355,0.3607635661685851,0.2211416274941571,0.36565056483249553,0.24174591708339974,0.8946046042102503,MatchXML-adapted,1.703,10.1109/TKDE.2024.3374750,,,,
2023,event_aircraft_weather,1231,17,0.22958057395143489,0.8461016949152542,0.3611633627550282,0.2267039736284633,0.36382413763535604,0.23960645273184097,0.8858154084261183,LSPCL-adapted,1.709,10.1016/j.knosys.2024.112887,,,,
2023,event_aircraft_weather,1231,17,0.281411256450258,0.7949152542372881,0.41566959142072146,0.24595623067847244,0.40478888608458063,0.2723360829981464,0.8395121234178836,HALB-adapted,3.777,10.1016/j.knosys.2024.112153,,,0.75,
2023,event_aircraft_weather,1231,17,0.27976991800269246,0.7749152542372881,0.4111141084434853,0.24576706783184837,0.40142026265096936,0.27139337330239033,0.7927044679951983,DyLas-adapted,5.201,10.1016/j.inffus.2025.103081,,,,0.2
2023,preliminary,1231,17,0.4371947646024614,0.7586440677966102,0.554715578138555,0.36910946646407417,0.5433696324435561,0.4051306848219927,0.6653627682627724,BR-TFIDF,9.364,,,,,
2023,preliminary,1231,17,0.45197395197395196,0.7528813559322034,0.564852492370295,0.3730600942116779,0.5511297349640161,0.415649297899501,0.6584220326742606,VCLDL-adapted,12.028,10.1109/TKDE.2023.3323401,0.65,,,
2023,preliminary,1231,17,0.4554517133956386,0.7433898305084746,0.5648422408242112,0.3755866061136939,0.5523786845882702,0.4188319600789138,0.6504863048770925,SIHTC-adapted,11.856,10.1109/TKDE.2025.3579810,0.75,6,,
2023,preliminary,1231,17,0.34702571124296366,0.7732203389830509,0.47905071931114146,0.2941801094609285,0.4733912657485956,0.340193970890559,0.781270377807344,MatchXML-adapted,15.717,10.1109/TKDE.2024.3374750,,,,
2023,preliminary,1231,17,0.3639291465378422,0.7661016949152543,0.49344978165938863,0.306169087610789,0.4837972109343392,0.34764845227883406,0.7716906567894607,LSPCL-adapted,15.57,10.1016/j.knosys.2024.112887,,,,
2023,preliminary,1231,17,0.4388702350385147,0.7532203389830509,0.5545987769873955,0.36389937681853346,0.5441880982092193,0.406961690714737,0.7255142677781092,HALB-adapted,19.274,10.1016/j.knosys.2024.112153,,,0.9,
2023,preliminary,1231,17,0.4371947646024614,0.7586440677966102,0.554715578138555,0.36910946646407417,0.5433696324435561,0.4051306848219927,0.6653627682627725,DyLas-adapted,27.54,10.1016/j.inffus.2025.103081,,,,0.0
2023,mature_factual,1231,17,0.5652933832709114,0.7674576271186441,0.6510424155283968,0.4518479071689373,0.6393655311202021,0.5192458705659355,0.6147458009567311,BR-TFIDF,11.855,,,,,
2023,mature_factual,1231,17,0.5760980592441267,0.7647457627118645,0.657151179726187,0.4530496377729511,0.6468967353613982,0.5332807886219747,0.6199288735804448,VCLDL-adapted,14.349,10.1109/TKDE.2023.3323401,0.65,,,
2023,mature_factual,1231,17,0.5772903225806452,0.7583050847457627,0.6555311355311355,0.4513332483695713,0.6428063361857025,0.5270276456100988,0.6154987294173849,SIHTC-adapted,14.292,10.1109/TKDE.2025.3579810,0.85,6,,
